,address,bds,cost
177,"1554 Commonwealth Ave #7, Brighton, MA 02135",2 bds,"$2,800/mo"
178,"14 Highgate St #303, Allston, MA 02134",2 bds,"$3,900/mo"
179,"52 Adamson St #2, Allston, MA 02134",3 bds,"$3,500/mo"
180,"62 Langley Rd #2, Brighton, MA 02135",4 bds,"$5,700/mo"
181,"68 Brooks St, Boston, MA",3 bd,"$3,200+"
182,"245 Chestnut Hill Ave #2, Brighton, MA 02135",2 bds,"$2,850/mo"
183,"506 E Broadway, Boston, MA",1 bd,"$2,400+"
184,"506 E Broadway, Boston, MA",2 bd,"$2,600+"
185,"42 Vineland St #2, Boston, MA 02135",3 bds,"$3,500/mo"
186,"78 Glenville Ave, Allston, MA 02134",2 bds,"$3,200/mo"
187,"86 Brooks St UNIT 1, Brighton, MA 02135",5 bds,"$5,500/mo"
188,"40 Atkins St #1, Brighton, MA 02135",4 bds,"$4,000/mo"
189,"228 Kelton St, Allston, MA",1 bd,"$2,125+"
190,"52 Cummings Rd APT 1, Brighton, MA 02135",5 bds,"$5,000/mo"
191,"1666 Commonwealth Ave, Brighton, MA",1 bd,"$3,100+"
192,"1666 Commonwealth Ave, Brighton, MA",2 bd,"$2,800+"
193,"26 Fayette St, Boston, MA",1 bd,"$2,900+"
194,"70-72 Joy St, Boston, MA",Studio,"$2,380+"
195,"70-72 Joy St, Boston, MA",1 bd,"$3,300+"
196,"70-72 Joy St, Boston, MA",2 bd,"$3,300+"
197,"28 Bayard St #2, Allston, MA 02134",5 bds,"$4,250/mo"
198,"16 Miner St, Boston, MA",2 bd,"$4,500+"
199,"124 Calumet St #1, Roxbury, MA 02120",2 bds,"$3,200/mo"
200,"25 Gordon St #1, Allston, MA 02134",3 bds,"$4,000/mo"
201,"7 Greenville St #1, Roxbury, MA 02119",1 bd,"$2,300/mo"
202,"71 Surrey St #1, Brighton, MA 02135",3 bds,"$3,150/mo"
203,"90 Morris St #2, East Boston, MA 02128",2 bds,"$3,400/mo"
204,"36 Easton St #2, Allston, MA 02134",3 bds,"$3,000/mo"
205,"117 Sutherland Rd #7, Brighton, MA 02135",1 bd,"$2,675/mo"
206,"14 Bayard St #1, Allston, MA 02134",5 bds,"$4,250/mo"
207,"24 Donnybrook Rd #2, Brighton, MA 02135",4 bds,"$3,700/mo"
208,"16 Shepard St #4, Brighton, MA 02135",3 bds,"$4,200/mo"
209,"8 Arlington St #3, Boston, MA 02116",3 bds,"$3,600/mo"
210,"10-12 Bayard St #1, Allston, MA 02134",5 bds,"$4,250/mo"
211,"194 Kelton St, Boston, MA",4 bd,"$4,400+"
212,"194 Kelton St, Boston, MA",5 bd,"$5,800+"
213,"235 Chestnut Hill Ave, Brighton, MA",4 bd,"$6,600+"
214,"11 Holton St #3, Boston, MA 02134",3 bds,"$3,000/mo"
215,"196 Green St, Jamaica Plain, MA",1 bd,"$2,750+"
216,"196 Green St, Jamaica Plain, MA",2 bd,"$3,400+"
217,"96 Dix St APT 1, Dorchester, MA 02122",2 bds,"$3,600/mo"
218,"12 Sparhawk St #1, Boston, MA 02135",4 bds,"$4,000/mo"
219,"55 Lanark Rd APT 9, Brighton, MA 02135",3 bds,"$3,500/mo"
220,"5 Delaware Pl #2, Brighton, MA 02135",3 bds,"$3,300/mo"
221,"126 Chiswick Rd #9, Brighton, MA 02135",4 bds,"$3,600/mo"
222,"8 Glenmont Rd #1, Brighton, MA 02135",3 bds,"$3,400/mo"
223,"12 Priscilla Rd #2, Brighton, MA 02135",5 bds,"$4,500/mo"
224,"104 Brooks St APT 2, Brighton, MA 02135",3 bds,"$3,800/mo"
225,"33 Lothrop St FLOOR 2, Brighton, MA 02135",4 bds,"$3,700/mo"
226,"41 N Crescent Cir #2, Brighton, MA 02135",3 bds,"$3,300/mo"
227,"130 Bigelow St FLOOR 2, Brighton, MA 02135",3 bds,"$3,800/mo"
228,"11-13 E Lenox St, Boston, MA",2 bd,"$4,200+"
229,"11-13 E Lenox St, Boston, MA",3 bd,"$5,800+"
230,"126 Marginal St, Boston, MA",2 bd,"$2,950+"
231,"93 Hobart St #2, Boston, MA 02135",4 bds,"$3,800/mo"
232,"24 Arlington St FLOOR 2, Brighton, MA 02135",3 bds,"$3,300/mo"
233,"92 Charles St, Boston, MA",Studio,"$2,100+"
234,"26 Kenrick St #2, Brighton, MA 02135",4 bds,"$4,300/mo"
235,"(undisclosed Address), Boston, MA 02215",2 bds,"$3,350/mo"
236,"565 Massachusetts Ave APT 1, Roxbury, MA 02118",2 bds,"$3,800/mo"
237,"6-8 South St #3, Brighton, MA 02135",2 bds,"$3,500/mo"
238,"51 Dustin St #1, Brighton, MA 02135",3 bds,"$3,400/mo"
239,"67 Etna St #2, Brighton, MA 02135",5 bds,"$4,750/mo"
240,"(undisclosed Address), Brighton, MA 02135",4 bds,"$3,550/mo"
241,"79 Elmira St #1, Brighton, MA 02135",3 bds,"$3,100/mo"
242,"(undisclosed Address), Jamaica Plain, MA 02130",4 bds,"$6,695/mo"
243,"605 Cambridge St #2, Allston, MA 02134",1 bd,"$9,999/mo"
244,"54 Brackett St #3, Brighton, MA 02135",3 bds,"$3,500/mo"
245,"119 Webster St, Boston, MA",1 bd,"$2,800+"
246,"119 Webster St, Boston, MA",2 bd,"$2,700+"
247,"70 S Huntington Ave, Boston, MA",1 bd,"$2,000+"
248,"21 Kinross Rd APT 3, Brighton, MA 02135",3 bds,"$3,800/mo"
249,"20 Brackett St #2, Brighton, MA 02135",4 bds,"$3,800/mo"
250,"20 Newcastle Rd #2, Brighton, MA 02135",4 bds,"$4,000/mo"
251,"17 Gordon St #1, Allston, MA 02134",3 bds,"$4,000/mo"
252,"45 Cedar Grove St, Dorchester, MA 02124",3 bds,"$3,800/mo"
253,"24 Hull St, Boston, MA",1 bd,"$2,395+"
254,"30 Murdock St #3, Brighton, MA 02135",3 bds,"$3,800/mo"
255,"1731 Commonwealth Ave #2, Brighton, MA 02135",3 bds,"$3,300/mo"
256,"3 Putnam Pl, Roxbury, MA 02119",4 bds,"$7,200/mo"
257,"68 Woodstock Ave, Boston, MA",Studio,"$2,075+"
258,"68 Woodstock Ave, Boston, MA",1 bd,"$2,400+"
259,"393 W Broadway, Boston, MA",2 bd,"$3,200+"
260,"168 N St, Boston, MA",4 bd,"$5,200+"
261,"168 N St, Boston, MA",5 bd,"$7,500+"
262,"29 Woodlawn St #1, Jamaica Plain, MA 02130",2 bds,"$3,000/mo"
263,"38 Claymoss Rd #2, Boston, MA 02135",4 bds,"$3,500/mo"
264,"34 Bentley St #2A, Brighton, MA 02135",3 bds,"$3,700/mo"
265,"34 Charter St, Boston, MA",1 bd,"$2,500+"
266,"10 Boston St, South Boston, MA",3 bd,"$2,900+"
267,"165 W 6th St #1, Boston, MA 02127",2 bds,"$3,300/mo"
268,"(undisclosed Address), Boston, MA 02115",2 bds,"$3,580/mo"
269,"110 Kenrick St FLOOR 2, Brighton, MA 02135",3 bds,"$4,000/mo"
270,"11 Charter St, Boston, MA",2 bd,"$2,800+"
271,"48 Juliette St FLOOR 3, Dorchester, MA 02122",2 bds,"$3,000/mo"
272,"26 Aldie St #1, Allston, MA 02134",5 bds,"$4,250/mo"
273,"12 Woodmont St #1, Brighton, MA 02135",4 bds,"$3,800/mo"
274,"883 Huntington Ave, Boston, MA",1 bd,"$2,500+"
275,"883 Huntington Ave, Boston, MA",2 bd,"$2,695+"
276,"676 Adams St #1A, Dorchester, MA 02122",2 bds,"$2,700/mo"
277,"340 Market St, Brighton, MA 02135",5 bds,"$7,000/mo"
278,"48 Belden St FLOOR 2, Dorchester, MA 02125",3 bds,"$3,300/mo"
279,"(undisclosed Address), Boston, MA 02128",3 bds,"$3,950/mo"
280,"22 Bellvista Rd #9, Brighton, MA 02135",2 bds,"$3,000/mo"
281,"282 Corey Rd #2, Brighton, MA 02135",2 bds,"$2,900/mo"
282,"137 Marcella St #2, Boston, MA 02119",2 bds,"$3,150/mo"
283,"33 Newcastle Rd #2, Boston, MA 02135",5 bds,"$6,000/mo"
284,"228 Faneuil St #2, Brighton, MA 02135",4 bds,"$4,000/mo"
285,"24 Long Ave #1, Allston, MA 02134",5 bds,"$5,500/mo"
286,"(undisclosed Address), Boston, MA 02215",Studio ba,"$2,600/mo"
287,"32 Cunard St #2, Boston, MA 02120",3 bds,"$4,650/mo"
288,"379 Commonwealth Ave, Boston, MA",Studio,"$2,200+"
289,"379 Commonwealth Ave, Boston, MA",1 bd,"$2,900+"
290,"20 Highgate St, Allston, MA",2 bd,"$3,800+"
291,"20 Highgate St, Allston, MA",5 bd,"$5,900+"
292,"9 Glover Ct, Boston, MA",3 bd,"$4,000+"
293,"168 Endicott St #2A, Boston, MA 02113",3 bds,"$4,500/mo"
294,"17 Holman St, Allston, MA",4 bd,"$5,500+"
295,"17 Holman St, Allston, MA",5 bd,"$6,000+"
296,"25 Peverell St, Dorchester, MA",3 bd,"$3,500+"
297,"21 Fairbanks St #1, Brighton, MA 02135",3 bds,"$3,600/mo"
298,"22 Brackett St SUITE 2, Brighton, MA 02135",4 bds,"$3,800/mo"
299,"(undisclosed Address), Boston, MA 02120",2 bds,"$3,300/mo"
300,"(undisclosed Address), Boston, MA 02120",2 bds,"$3,200/mo"
301,"24 Matchett St #1, Brighton, MA 02135",3 bds,"$3,400/mo"
302,"38 Foster St #1, Brighton, MA 02135",2 bds,"$3,250/mo"
303,"18 Grove St, Boston, MA",1 bd,"$3,100+"
304,"392 W Broadway APT 4, Boston, MA 02127",1 bd,"$3,400/mo"
305,"(undisclosed Address), Dorchester, MA 02124",2 bds,"$2,600/mo"
306,"856 E Broadway #1H, Boston, MA 02127",5 bds,"$6,750/mo"
307,"870 E 2nd St #3, South Boston, MA 02127",2 bds,"$5,000/mo"
308,"129 Chiswick Rd #1, Brighton, MA 02135",4 bds,"$3,600/mo"
309,"21 Montfern Ave #2, Brighton, MA 02135",3 bds,"$3,100/mo"
310,"175 Athens St, South Boston, MA 02127",2 bds,"$4,200/mo"
311,"8 Malbert Rd, Boston, MA",5 bd,"$4,000+"
312,"8 Malbert Rd, Boston, MA",6 bd,"$4,000+"
313,"837 Dorchester Ave #2, Dorchester, MA 02125",3 bds,"$3,800/mo"
314,"15 Long Ave #2, Allston, MA 02134",3 bds,"$3,300/mo"
315,"10 Wiget St, Boston, MA",2 bd,"$2,500+"
316,"20 Bigelow St #3, Brighton, MA 02135",3 bds,"$3,300/mo"
317,"6 Oliva Rd #1, Brighton, MA 02135",2 bds,"$2,800/mo"
318,"21 Lothrop St #2, Boston, MA 02135",4 bds,"$3,900/mo"
319,"18 Burton St #2, Brighton, MA 02135",4 bds,"$4,000/mo"
320,"689 Washington St APT 1, Boston, MA 02124",4 bds,"$3,800/mo"
321,"533 Newbury St, Boston, MA",1 bd,"$2,650+"
322,"533 Newbury St, Boston, MA",2 bd,"$3,800+"
323,"5 Saint James Pl, Roxbury, MA 02119",4 bds,"$5,000/mo"
324,"185 Saint Botolph St, Boston, MA",Studio,"$2,200+"
325,"185 Saint Botolph St, Boston, MA",1 bd,"$2,100+"
326,"70 Brayton Rd #1, Brighton, MA 02135",3 bds,"$3,100/mo"
327,"35 Oak St, Boston, MA",1 bd,"$2,195+"
328,"25 Mount Hood Rd APT 3, Brighton, MA 02135",2 bds,"$2,675/mo"
329,"84 Gordon St APT 306, Brighton, MA 02135",1 bd,"$2,600/mo"
330,"260 Chestnut Hill Ave #4, Brighton, MA 02135",Studio ba,"$2,350/mo"
331,"38 Oak St, Boston, MA",1 bd,"$2,200+"
332,"25 Gloucester St, Boston, MA",1 bd,"$2,350+"
333,"25 Gloucester St, Boston, MA",2 bd,"$1,400+"
334,"142 Lake Shore Rd #2, Brighton, MA 02135",3 bds,"$3,300/mo"
335,"242 Corey Rd #1, Brighton, MA 02135",2 bds,"$2,900/mo"
336,"8 Oakhurst St #6, Dorchester Center, MA 02124",3 bds,"$3,500/mo"
337,"24 Shepard St #2, Brighton, MA 02135",2 bds,"$3,300/mo"
338,"41 Rosemont St #2, Dorchester, MA 02122",2 bds,"$2,750/mo"
339,"8 Saint Andrew Rd, Boston, MA 02128",3 bds,"$3,500/mo"
340,"37 Aldie St #1, Boston, MA 02134",1 bd,"$2,900/mo"
341,"2 Newhill Pl, Boston, MA 02127",2 bds,"$2,500/mo"
342,"75 Etna St #2, Brighton, MA 02135",3 bds,"$3,000/mo"
343,"64 Brighton Ave, Allston, MA",1 bd,"$1,900+"
344,"231 Chestnut Hill Ave, Brighton, MA",3 bd,"$3,600+"
345,"231 Chestnut Hill Ave, Brighton, MA",4 bd,"$6,000+"
346,"22 Park Vale Ave APT 2, Allston, MA 02134",3 bds,"$3,400/mo"
347,"20 Ranelegh Rd #2, Brighton, MA 02135",2 bds,"$3,000/mo"
348,"221 Kelton St, Boston, MA",Studio,"$1,875+"
349,"221 Kelton St, Boston, MA",1 bd,"$2,150+"
350,"460B Harrison Ave, Boston, MA",2 bd,"$4,100+"
351,"18 Brookline Ave #205, Boston, MA 02215",Studio ba,"$4,097/mo"
352,"18 Atlantic St, Boston, MA",4 bd,"$5,000+"
353,"18 Atlantic St, Boston, MA",5 bd,"$6,500+"
354,"741-20 E 6th St, Boston, MA",3 bd,"$3,700+"
355,"743 E 4th St #202A, Boston, MA 02127",2 bds,"$3,600/mo"
356,"311 South St #B3, Brighton, MA 02135",1 bd,"$2,550/mo"
357,"41 Englewood Ave #21, Brighton, MA 02135",1 bd,"$2,300/mo"
358,"2023 Commonwealth Ave #1, Brighton, MA 02135",2 bds,"$3,750/mo"
359,"6 Radcliffe Rd #B, Boston, MA 02134",2 bds,"$2,900/mo"
360,"610 E 2nd St, South Boston, MA",2 bd,"$2,800+"
361,"72 Revere St #F3, Boston, MA 02114",Studio ba,"$2,500/mo"
362,"162 N Beacon St #23, Brighton, MA 02135",1 bd,"$2,100/mo"
363,"(undisclosed Address), Boston, MA 02115",1 bd,"$2,900/mo"
364,"5295 Washington St #1, West Roxbury, MA 02132",1 bd,"$2,400/mo"
365,"26 Mount Vernon St UNIT 4R, Boston, MA 02108",1 bd,"$3,250/mo"
366,"1411 Commonwealth Ave APT 503, Brighton, MA 02135",1 bd,"$2,100/mo"
367,"11 Greylock Rd #1, Allston, MA 02134",4 bds,"$3,900/mo"
368,"1933 Commonwealth Ave, Boston, MA",1 bd,"$2,300+"
369,"1933 Commonwealth Ave, Boston, MA",2 bd,"$3,300+"
