,address,bds,cost
171,"The Residences on Broadway | 50 W Broadway, Boston, MA",Studio,"$2,695+"
172,"The Residences on Broadway | 50 W Broadway, Boston, MA",1 bd,"$2,951+"
173,"The Residences on Broadway | 50 W Broadway, Boston, MA",2 bd,"$3,859+"
174,"Selkirk Place Apartments, 56-58 Selkirk Rd #56-2, Brighton, MA 02135",2 bds,"$2,700/mo"
175,"Carson Tower | 1410 Columbia Rd, Boston, MA",1 bd,"$3,000+"
176,"Carson Tower | 1410 Columbia Rd, Boston, MA",2 bd,"$3,200+"
177,"Carson Tower | 1410 Columbia Rd, Boston, MA",3 bd,"$4,400+"
178,"Church Park | 221 Massachusetts Ave, Boston, MA",Studio,"$3,905+"
179,"Church Park | 221 Massachusetts Ave, Boston, MA",1 bd,"$4,030+"
180,"Church Park | 221 Massachusetts Ave, Boston, MA",2 bd,"$5,825+"
181,"252 Independence | 252 Independence Dr, Chestnut Hill, MA",1 bd,"$3,100+"
182,"252 Independence | 252 Independence Dr, Chestnut Hill, MA",2 bd,"$3,600+"
183,"36-44 Quint Ave, 36 Quint Ave APT 3, Allston, MA 02134",1 bd,"$2,495/mo"
184,"Ink Block | 300 Harrison Ave, Boston, MA",Studio,"$2,883+"
185,"Ink Block | 300 Harrison Ave, Boston, MA",1 bd,"$4,038+"
186,"Ink Block | 300 Harrison Ave, Boston, MA",2 bd,"$5,135+"
187,"Ink Block | 300 Harrison Ave, Boston, MA",3 bd,"$7,073+"
188,"Garrison Square | 7 Harcourt St, Boston, MA",1 bd,"$3,624+"
189,"Garrison Square | 7 Harcourt St, Boston, MA",2 bd,"$4,875+"
190,"1200 Commonwealth Ave | 1200 Commonwealth Ave, Allston, MA",2 bd,"$2,895+"
191,"Devonshire | 1 Devonshire Pl, Boston, MA",1 bd,"$3,470+"
192,"Devonshire | 1 Devonshire Pl, Boston, MA",2 bd,"$4,161+"
193,"Boston East | 126 Border St, East Boston, MA",Studio,"$2,664+"
194,"Boston East | 126 Border St, East Boston, MA",1 bd,"$2,613+"
195,"Boston East | 126 Border St, East Boston, MA",2 bd,"$3,358+"
196,"Commonwealth Gardens | 1131 Commonwealth Ave, Allston, MA",3 bd,"$3,350+"
197,"225 Centre | 225 Centre St, Roxbury, MA",1 bd,"$2,700+"
198,"225 Centre | 225 Centre St, Roxbury, MA",2 bd,"$3,400+"
199,"225 Centre | 225 Centre St, Roxbury, MA",3 bd,"$4,800+"
200,"28 Fleet St | 28 Fleet St, Boston, MA",2 bd,"$3,500+"
201,"28 Fleet St | 28 Fleet St, Boston, MA",3 bd,"$4,700+"
202,"28 Fleet St | 28 Fleet St, Boston, MA",4 bd,"$6,400+"
203,"Bower | 771 Beacon St, Boston, MA",Studio,"$3,552+"
204,"Bower | 771 Beacon St, Boston, MA",1 bd,"$3,402+"
205,"Bower | 771 Beacon St, Boston, MA",2 bd,"$6,237+"
206,"Boylston St, 40 | 40 Boylston St, Boston, MA",1 bd,"$3,000+"
207,"Boylston St, 40 | 40 Boylston St, Boston, MA",2 bd,"$4,000+"
208,"Lantera at Boston Landing | 125 Guest St, Boston, MA",Studio,"$2,474+"
209,"Lantera at Boston Landing | 125 Guest St, Boston, MA",1 bd,"$3,126+"
210,"Lantera at Boston Landing | 125 Guest St, Boston, MA",2 bd,"$4,143+"
211,"Lantera at Boston Landing | 125 Guest St, Boston, MA",3 bd,"$5,926+"
212,"One Canal Apartments | 1 Canal St, Boston, MA",Studio,"$2,977+"
213,"One Canal Apartments | 1 Canal St, Boston, MA",1 bd,"$3,418+"
214,"One Canal Apartments | 1 Canal St, Boston, MA",2 bd,"$4,797+"
215,"Coppersmith Village, 99 Border St #310, Boston, MA 02128",2 bds,"$3,150/mo"
216,"James and Harrison Court | 45 E Newton St, Boston, MA",Studio,"$3,335+"
217,"James and Harrison Court | 45 E Newton St, Boston, MA",1 bd,"$3,255+"
218,"James and Harrison Court | 45 E Newton St, Boston, MA",2 bd,"$3,920+"
219,"The Harlo | 1350 Boylston St, Boston, MA",Studio,"$3,250+"
220,"The Harlo | 1350 Boylston St, Boston, MA",1 bd,"$4,165+"
221,"The Harlo | 1350 Boylston St, Boston, MA",2 bd,"$5,925+"
222,"Hamilton Union | 435 Cambridge St, Allston, MA",1 bd,"$2,100+"
223,"Hamilton Union | 435 Cambridge St, Allston, MA",2 bd,"$2,600+"
224,"Hamilton Union | 435 Cambridge St, Allston, MA",3 bd,"$3,150+"
225,"Hamilton Union | 435 Cambridge St, Allston, MA",4 bd,"$3,750+"
226,"Atlas Residences, 223 Harvard Ave APT 8, Allston, MA 02134",2 bds,"$3,400/mo"
227,"Courtyard at North Beacon | 140 N Beacon St, Brighton, MA",2 bd,"$3,200+"
228,"3-15 Lorraine Terrace | 3 Lorraine Ter, Allston, MA",2 bd,"$2,895+"
229,"3-15 Lorraine Terrace | 3 Lorraine Ter, Allston, MA",3 bd,"$3,495+"
230,"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",Studio,"$2,268+"
231,"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",1 bd,"$2,917+"
