address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"89-93 Westland Ave, Boston, MA",1,3300,0.1 km,5.9 km,2.7 km,1.2 km
"89-93 Westland Ave, Boston, MA",2,3400,0.1 km,5.9 km,2.7 km,1.2 km
"89-93 Westland Ave, Boston, MA",3,5100,0.1 km,5.9 km,2.7 km,1.2 km
"23 Claymoss Rd, Boston, MA",3,3300,5.6 km,4.3 km,7.3 km,3.3 km
"191 Porter St, Boston, MA",Studio,2400,8.0 km,11.7 km,6.6 km,7.5 km
"191 Porter St, Boston, MA",1,2450,8.0 km,11.7 km,6.6 km,7.5 km
"191 Porter St, Boston, MA",2,3550,8.0 km,11.7 km,6.6 km,7.5 km
"(undisclosed Address), Brighton, MA 02135",1,2750,10.6 km,4.6 km,10.9 km,4.1 km
"91 Parsons St #1, Brighton, MA 02135",5,5000,9.6 km,3.6 km,9.7 km,3.4 km
"88 Wallingford Rd, Brighton, MA",2,2500,6.1 km,3.7 km,6.7 km,3.8 km
"88 Wallingford Rd, Brighton, MA",4,4200,6.1 km,3.7 km,6.7 km,3.8 km
"26 Easton St #3, Allston, MA 02134",Studio,3100,5.5 km,0.9 km,4.7 km,3.4 km
"229 Chestnut Hill Ave #1, Brighton, MA 02135",4,5800,6.6 km,5.7 km,7.6 km,4.3 km
"658 Massachusetts Ave, Boston, MA",Studio,2900,1.2 km,7.0 km,3.6 km,2.6 km
"658 Massachusetts Ave, Boston, MA",2,3900,1.2 km,7.0 km,3.6 km,2.6 km
"21 Ransom Rd #2, Brighton, MA 02135",4,4500,5.4 km,4.1 km,7.1 km,3.1 km
"21-23 Weitz St, Allston, MA",4,4000,5.2 km,0.6 km,4.5 km,3.2 km
"25 Murdock St FLOOR 1, Brighton, MA 02135",4,4850,6.7 km,2.9 km,5.9 km,2.7 km
"1100 Vfw Pkwy #3306, West Roxbury, MA 02132",1,2400,11.7 km,16.9 km,13.5 km,11.1 km
"46 Donnybrook Rd #2, Brighton, MA 02135",4,4400,9.8 km,3.8 km,9.9 km,3.9 km
"35 Glencoe St, Brighton, MA",Studio,2200,8.8 km,2.7 km,6.0 km,2.7 km
"1653 Commonwealth Ave, Brighton, MA",3,3300,5.5 km,4.2 km,7.2 km,3.9 km
"1653 Commonwealth Ave, Brighton, MA",4,3600,5.5 km,4.2 km,7.2 km,3.9 km
"11 Oakland St #1, Brighton, MA 02135",3,3600,10.0 km,4.1 km,10.1 km,3.9 km
"64 Wallingford Rd #2, Brighton, MA 02135",4,4400,6.0 km,3.8 km,6.9 km,3.7 km
"15 Egremont Rd, Boston, MA",1,2145,5.3 km,3.8 km,6.3 km,3.0 km
"15 Egremont Rd, Boston, MA",2,2750,5.3 km,3.8 km,6.3 km,3.0 km
"30 Lake Shore Ter, Brighton, MA",2,2575,11.3 km,5.4 km,11.7 km,4.8 km
"30 Lake Shore Ter, Brighton, MA",3,3300,11.3 km,5.4 km,11.7 km,4.8 km
"38 Gerrish St, Brighton, MA",4,4600,9.7 km,3.7 km,9.8 km,8.2 km
"35 Orkney Rd APT 3, Brighton, MA 02135",4,4400,5.3 km,5.0 km,6.7 km,4.3 km
"44 Gardena St #3, Brighton, MA 02135",3,4000,8.9 km,2.8 km,6.0 km,3.2 km
"199 Peterborough St, Boston, MA",Studio,2550,1.7 km,3.3 km,3.6 km,1.2 km
"9-11 Burney St #407, Roxbury Crossing, MA 02120",1,3250,1.2 km,7.6 km,4.5 km,2.6 km
"(undisclosed Address), Allston, MA 02134",2,3895,4.9 km,1.3 km,4.1 km,2.8 km
"9 Lothrop St #1, Brighton, MA 02135",3,3400,8.0 km,1.8 km,8.1 km,6.5 km
"109 Lanark Rd #1, Brighton, MA 02135",4,4300,5.5 km,3.9 km,6.5 km,3.2 km
"(undisclosed Address), Brighton, MA 02135",4,3800,10.6 km,4.6 km,10.9 km,4.1 km
"73 Gainsborough St, Boston, MA",1,3400,0.3 km,6.2 km,3.0 km,1.5 km
"73 Gainsborough St, Boston, MA",3,6600,0.3 km,6.2 km,3.0 km,1.5 km
"36 Arlington St #1, Brighton, MA 02135",5,4700,9.8 km,3.8 km,6.3 km,3.1 km
"96 Linden St APT 3, Allston, MA 02134",1,2600,5.6 km,2.0 km,4.9 km,1.2 km
"605 E 3rd St #1, Boston, MA 02127",3,4325,4.8 km,10.7 km,9.2 km,10.7 km
"18 Claymoss Rd #2, Brighton, MA 02135",4,4400,5.5 km,4.2 km,7.2 km,3.2 km
"41 Anderson St, Boston, MA",Studio,2000,4.3 km,8.1 km,2.7 km,3.8 km
"41 Anderson St, Boston, MA",3,4800,4.3 km,8.1 km,2.7 km,3.8 km
"6 Sparhawk St #10, Brighton, MA 02135",4,4800,6.7 km,2.9 km,5.9 km,2.7 km
"30 Raymond St #36, Allston, MA 02134",5,5400,6.3 km,0.8 km,4.8 km,3.5 km
"25 Eulita Ter #2, Brighton, MA 02135",4,4300,7.2 km,3.4 km,6.4 km,3.2 km
"48 Hereford St, Boston, MA",Studio,2400,1.5 km,5.7 km,2.1 km,1.0 km
"48 Hereford St, Boston, MA",1,2800,1.5 km,5.7 km,2.1 km,1.0 km
"107 Columbia Rd, Dorchester, MA",3,3200,4.1 km,15.0 km,12.9 km,7.2 km
"24 Tremont St #1, Brighton, MA 02135",3,3400,12.5 km,4.5 km,10.1 km,4.6 km
"20 Shanley St, Brighton, MA",1,2750,10.3 km,4.4 km,6.8 km,3.6 km
"20 Shanley St, Brighton, MA",2,2800,10.3 km,4.4 km,6.8 km,3.6 km
"70 Empire St, Allston, MA",2,2800,5.0 km,1.3 km,4.2 km,2.9 km
"70 Empire St, Allston, MA",3,3300,5.0 km,1.3 km,4.2 km,2.9 km
"55 Leicester St, Brighton, MA",3,2700,9.9 km,4.0 km,6.5 km,3.3 km
"55 Leicester St, Brighton, MA",5,5050,9.9 km,4.0 km,6.5 km,3.3 km
"1435 Tremont St, Boston, MA",2,4499,1.0 km,7.4 km,4.2 km,2.7 km
"1435 Tremont St, Boston, MA",4,7999,1.0 km,7.4 km,4.2 km,2.7 km
"161 Kelton St, Allston, MA",Studio,1875,4.5 km,2.9 km,5.2 km,1.9 km
"161 Kelton St, Allston, MA",1,2050,4.5 km,2.9 km,5.2 km,1.9 km
"26 Harbor View St, Boston, MA",3,3300,3.9 km,12.7 km,10.6 km,11.4 km
"26 Harbor View St, Boston, MA",4,3200,3.9 km,12.7 km,10.6 km,11.4 km
"288 Foster St, Boston, MA",4,6200,11.2 km,5.2 km,7.6 km,4.4 km
"288 Foster St, Boston, MA",5,7200,11.2 km,5.2 km,7.6 km,4.4 km
"123 Sutherland Rd, Brighton, MA",Studio,2695,5.4 km,3.9 km,6.5 km,3.2 km
"123 Sutherland Rd, Brighton, MA",1,2600,5.4 km,3.9 km,6.5 km,3.2 km
"123 Sutherland Rd, Brighton, MA",2,3195,5.4 km,3.9 km,6.5 km,3.2 km
"123 Sutherland Rd, Brighton, MA",4,4200,5.4 km,3.9 km,6.5 km,3.2 km
"2 Ayr Rd, Brighton, MA",1,2275,5.3 km,5.0 km,6.7 km,4.3 km
"110-120 Brainerd Rd, Allston, MA",1,2400,4.5 km,2.8 km,5.1 km,1.8 km
"110-120 Brainerd Rd, Allston, MA",2,2950,4.5 km,2.8 km,5.1 km,1.8 km
"1645 Commonwealth Ave, Brighton, MA",Studio,1950,5.5 km,4.2 km,7.2 km,3.9 km
"1645 Commonwealth Ave, Brighton, MA",1,2100,5.5 km,4.2 km,7.2 km,3.9 km
"1645 Commonwealth Ave, Brighton, MA",2,2500,5.5 km,4.2 km,7.2 km,3.9 km
"1645 Commonwealth Ave, Brighton, MA",4,3750,5.5 km,4.2 km,7.2 km,3.9 km
"40-42 Anderson Pl, Boston, MA",Studio,2100,4.3 km,8.0 km,2.6 km,3.8 km
"40-42 Anderson Pl, Boston, MA",1,2800,4.3 km,8.0 km,2.6 km,3.8 km
"40-42 Anderson Pl, Boston, MA",2,3300,4.3 km,8.0 km,2.6 km,3.8 km
"106 Queensberry St, Boston, MA",1,3300,1.1 km,6.4 km,3.2 km,1.4 km
"42 8th St, Charlestown, MA",1,2650,7.2 km,11.0 km,5.9 km,6.7 km
"79 N Margin St, Boston, MA",1,2600,6.4 km,10.6 km,4.7 km,4.9 km
"64 Hobart St #1, Brighton, MA 02135",3,3200,9.7 km,3.7 km,9.8 km,3.9 km
"39 Blenford Rd #1, Boston, MA 02135",3,3300,5.7 km,3.8 km,6.8 km,3.8 km
"17 Sparhawk St #4, Brighton, MA 02135",4,4800,6.8 km,3.0 km,6.0 km,2.8 km
"55 Park Dr, Boston, MA",Studio,2195,1.1 km,6.4 km,4.3 km,1.9 km
"55 Park Dr, Boston, MA",1,2800,1.1 km,6.4 km,4.3 km,1.9 km
"55 Park Dr, Boston, MA",2,3050,1.1 km,6.4 km,4.3 km,1.9 km
"30 Kinross Rd, Brighton, MA",1,2400,5.6 km,4.0 km,6.6 km,3.3 km
"30 Kinross Rd, Brighton, MA",2,2800,5.6 km,4.0 km,6.6 km,3.3 km
"30 Glencoe St #1, Brighton, MA 02135",3,3800,8.7 km,2.7 km,5.9 km,2.6 km
"3 Glenley Ter #1, Brighton, MA 02135",6,5900,12.6 km,4.7 km,10.3 km,4.8 km
"12 Shannon St #1, Brighton, MA 02135",3,3200,5.6 km,3.3 km,6.3 km,3.3 km
"9 Sparhawk St #2, Brighton, MA 02135",4,5400,6.7 km,2.9 km,5.9 km,2.7 km
"41 Gardena St #2, Brighton, MA 02135",3,3600,8.8 km,2.8 km,6.0 km,3.2 km
"11 Dunboy St #2, Brighton, MA 02135",3,3300,10.0 km,4.1 km,10.2 km,4.1 km
"(undisclosed Address), Brighton, MA 02135",2,2825,10.6 km,4.6 km,10.9 km,4.1 km
"14 Sparhawk St #2, Brighton, MA 02135",4,4800,6.8 km,3.0 km,6.0 km,2.8 km
"77 Colborne Rd #2, Brighton, MA 02135",2,3000,5.5 km,3.8 km,6.8 km,3.2 km
"48 Cummings Rd APT 1, Brighton, MA 02135",5,5000,5.2 km,3.7 km,6.2 km,2.9 km
"142 Sutherland Rd, Brighton, MA",3,3400,5.4 km,3.8 km,6.4 km,3.1 km
"142 Sutherland Rd, Brighton, MA",4,5000,5.4 km,3.8 km,6.4 km,3.1 km
"131 Brooks St #1, Brighton, MA 02135",4,4800,9.8 km,3.8 km,9.9 km,4.0 km
"80 Brooks St #3, Brighton, MA 02135",3,3300,9.5 km,3.6 km,9.7 km,8.1 km
"156 Strathmore Rd #21, Brighton, MA 02135",2,3100,6.0 km,4.5 km,7.0 km,3.7 km
"41 Arlington St #3, Brighton, MA 02135",3,3600,9.8 km,3.8 km,6.4 km,3.2 km
"21 Champney St #1, Brighton, MA 02135",6,5900,12.3 km,4.6 km,9.9 km,8.6 km
"23 Colborne Rd #2, Brighton, MA 02135",4,4500,5.3 km,4.0 km,7.0 km,3.0 km
"40 Glenley Ter #1, Brighton, MA 02135",6,5700,12.8 km,4.8 km,10.4 km,4.9 km
"14 Bentley St #1, Brighton, MA 02135",3,3200,7.0 km,3.2 km,6.2 km,3.0 km
"224 Faneuil St #2, Brighton, MA 02135",4,3750,9.7 km,3.7 km,9.8 km,3.8 km
"12 Melvin Ave #2, Brighton, MA 02135",4,4700,5.1 km,3.2 km,5.8 km,2.5 km
"4 Wadsworth St #2, Allston, MA 02134",5,5150,5.9 km,2.2 km,5.1 km,1.3 km
"62 N Beacon St #4, Allston, MA 02134",4,5200,8.3 km,2.0 km,5.2 km,1.9 km
"3 Delaware Pl #2, Brighton, MA 02135",3,3550,9.9 km,3.9 km,6.3 km,3.1 km
"63 Selkirk Rd, Boston, MA",2,2950,5.8 km,4.3 km,6.8 km,3.5 km
"4 Adella Pl #G, Allston, MA 02134",3,3500,6.0 km,2.3 km,5.2 km,1.6 km
"106 Warren St, Brighton, MA",2,3400,6.9 km,2.6 km,6.2 km,2.1 km
"48 Hereford St, Boston, MA",1,2800,1.5 km,5.7 km,2.1 km,1.0 km
"65 Surrey St #1, Brighton, MA 02135",3,3150,10.5 km,4.5 km,6.9 km,3.7 km
"9 Bennett St #2, Boston, MA 02135",3,3150,10.0 km,4.0 km,6.4 km,3.2 km
"16 Sutherland Rd APT 2, Brighton, MA 02135",4,4200,5.4 km,4.3 km,6.9 km,3.6 km
"11 Lothrop St FLOOR 2, Brighton, MA 02135",3,3300,8.0 km,1.8 km,8.1 km,6.5 km
"133 Seaport Blvd, Boston, MA",1,4845,5.3 km,9.9 km,7.4 km,8.3 km
"133 Seaport Blvd, Boston, MA",2,8950,5.3 km,9.9 km,7.4 km,8.3 km
"72 Strathmore Rd APT 12B, Brighton, MA 02135",3,3250,5.3 km,4.6 km,6.7 km,3.8 km
"33 Bigelow St #2, Brighton, MA 02135",3,3400,10.2 km,4.3 km,10.1 km,4.6 km
"33-35 Gray St, Boston, MA",1,5200,2.4 km,7.6 km,4.0 km,3.0 km
"8 Donnybrook Rd #2, Brighton, MA 02135",4,4400,9.6 km,3.7 km,9.7 km,3.8 km
"35 Bentley St #2, Boston, MA 02135",5,9999,7.0 km,3.2 km,6.2 km,3.0 km
"49 Orkney Rd #3, Brighton, MA 02135",4,4400,5.4 km,5.1 km,6.8 km,4.4 km
"66 Perthshire Rd #2, Brighton, MA 02135",4,4500,10.2 km,4.3 km,9.9 km,4.5 km
"95 Prince St, Boston, MA",1,2595,6.9 km,11.0 km,4.0 km,5.5 km
"95 Prince St, Boston, MA",2,3695,6.9 km,11.0 km,4.0 km,5.5 km
"21 Morrow Rd FLOOR 2, Brighton, MA 02135",3,3200,8.9 km,2.9 km,6.1 km,2.8 km
"19 Litchfield St APT 3, Brighton, MA 02135",3,3400,6.1 km,1.8 km,5.3 km,2.9 km
"16 Leicester St FLOOR 2, Brighton, MA 02135",3,3300,10.2 km,4.3 km,6.5 km,3.3 km
"72 Brooks St #2, Brighton, MA 02135",3,3200,9.5 km,3.6 km,9.6 km,8.0 km
"39 Snow St #1, Brighton, MA 02135",4,6000,5.6 km,3.7 km,6.8 km,3.4 km
"17 Hemenway St #14, Boston, MA 02115",Studio,3200,1.1 km,5.7 km,2.6 km,1.1 km
"20 Chiswick Rd #8, Brighton, MA 02135",3,3400,5.5 km,4.5 km,7.0 km,3.7 km
"65 Gardena St #1, Brighton, MA 02135",4,4950,8.9 km,2.7 km,5.9 km,3.1 km
"7 Willoughby St, Brighton, MA 02135",4,4200,10.6 km,4.6 km,11.0 km,3.9 km
"30 Faneuil St #2, Brighton, MA 02135",4,4800,9.8 km,3.9 km,6.9 km,2.9 km
"24 Peterborough St, Boston, MA",Studio,2550,1.0 km,6.1 km,2.9 km,1.5 km
"24 Peterborough St, Boston, MA",1,2800,1.0 km,6.1 km,2.9 km,1.5 km
"4 Donnybrook Rd #2, Brighton, MA 02135",4,4000,9.6 km,3.7 km,9.7 km,3.8 km
"490 Washington St #2, Boston, MA 02135",5,4950,10.4 km,4.5 km,10.5 km,3.8 km
"120 London St, Boston, MA",1,2100,7.6 km,11.4 km,6.3 km,7.1 km
"46A Kirkwood Rd, Brighton, MA",4,8700,6.5 km,5.3 km,7.3 km,4.2 km
"46A Kirkwood Rd, Brighton, MA",7,10675,6.5 km,5.3 km,7.3 km,4.2 km
"17 Kinross Rd FLOOR 3, Brighton, MA 02135",3,3600,5.6 km,4.1 km,6.6 km,3.3 km
"31 Mansfield St #2, Allston, MA 02134",4,5200,5.2 km,1.0 km,4.4 km,3.1 km
"36 Orkney Rd APT 3, Brighton, MA 02135",4,4400,5.4 km,5.1 km,6.8 km,4.3 km
"70 Langley Rd #1, Brighton, MA 02135",4,5700,12.6 km,4.5 km,10.3 km,4.1 km
"(undisclosed Address), Brighton, MA 02135",4,3900,10.6 km,4.6 km,10.9 km,4.1 km
"504 Beacon St, Boston, MA",Studio,2175,1.2 km,5.2 km,2.5 km,0.7 km
"504 Beacon St, Boston, MA",2,3200,1.2 km,5.2 km,2.5 km,0.7 km
"12 Cummings Rd #2, Brighton, MA 02135",5,5000,5.4 km,3.8 km,6.4 km,3.1 km
"1561 Commonwealth Ave #3, Brighton, MA 02135",2,2900,5.0 km,3.1 km,6.1 km,2.8 km
"14-18 Westford St #7R, Allston, MA 02134",2,3100,6.4 km,0.9 km,5.0 km,3.7 km
"128 Parsons St #2, Brighton, MA 02135",5,5500,9.4 km,3.5 km,9.5 km,3.5 km
"42 Claymoss Rd, Brighton, MA",3,3150,5.2 km,3.9 km,6.2 km,2.9 km
"42 Claymoss Rd, Brighton, MA",5,4400,5.2 km,3.9 km,6.2 km,2.9 km
"108 Kenrick St #4, Brighton, MA 02135",4,5400,12.9 km,5.0 km,10.6 km,4.4 km
"57 Hobart St #1, Brighton, MA 02135",3,3300,9.7 km,3.8 km,9.8 km,3.9 km
"(undisclosed Address), Boston, MA 02215",Studio,2475,3.8 km,8.7 km,5.5 km,4.4 km
"72 Hobart St #2, Brighton, MA 02135",5,5300,9.6 km,3.7 km,9.7 km,4.0 km
"122 Bennett St #1, Brighton, MA 02135",3,3150,9.9 km,4.0 km,10.0 km,3.7 km
"180 Endicott St, Boston, MA",1,2700,6.4 km,10.5 km,4.6 km,4.9 km
"319 Summit Ave #1, Brighton, MA 02135",5,5500,5.1 km,3.1 km,5.7 km,2.4 km
"33 Harriet St FLOOR 2, Brighton, MA 02135",4,4000,9.8 km,3.9 km,9.9 km,3.5 km
"140 Newton St, Brighton, MA",3,3300,10.0 km,4.1 km,10.1 km,8.5 km
"68 Glencoe St #3, Brighton, MA 02135",3,3500,8.9 km,2.8 km,6.1 km,3.2 km
"1661-1665 Washington St, Boston, MA",1,2900,1.3 km,8.0 km,3.7 km,2.7 km
"1661-1665 Washington St, Boston, MA",2,3450,1.3 km,8.0 km,3.7 km,2.7 km
"50 Evergreen St, Jamaica Plain, MA",1,2500,3.3 km,5.6 km,6.0 km,3.5 km
"50 Evergreen St, Jamaica Plain, MA",2,3100,3.3 km,5.6 km,6.0 km,3.5 km
"134 Newton St, Brighton, MA",3,3200,10.0 km,4.1 km,10.1 km,8.5 km
"1840-6 Commonwealth Ave, Brighton, MA",Studio,2100,5.8 km,4.2 km,6.8 km,3.5 km
"1840-6 Commonwealth Ave, Brighton, MA",1,2100,5.8 km,4.2 km,6.8 km,3.5 km
"1840-6 Commonwealth Ave, Brighton, MA",2,2700,5.8 km,4.2 km,6.8 km,3.5 km
"1840-6 Commonwealth Ave, Brighton, MA",3,4450,5.8 km,4.2 km,6.8 km,3.5 km
"7 Wollaston Ter, Dorchester Center, MA",2,2650,8.0 km,20.4 km,18.3 km,10.7 km
"822 Huntington Ave, Boston, MA",2,3300,1.5 km,4.7 km,5.1 km,2.6 km
"303 Summit Ave, Brighton, MA",2,2600,4.6 km,3.3 km,5.5 km,2.2 km
"303 Summit Ave, Brighton, MA",5,6500,4.6 km,3.3 km,5.5 km,2.2 km
"113 Beacon St, Boston, MA",1,3000,2.8 km,6.6 km,3.0 km,2.3 km
"113 Beacon St, Boston, MA",2,5000,2.8 km,6.6 km,3.0 km,2.3 km
"113 Beacon St, Boston, MA",3,5000,2.8 km,6.6 km,3.0 km,2.3 km
"295 Summit Ave #2, Boston, MA 02135",5,5500,4.6 km,3.3 km,5.6 km,2.3 km
"25 Mapleton St #2, Brighton, MA 02135",5,5500,7.0 km,3.2 km,6.2 km,3.0 km
"16 Oakland St #2, Brighton, MA 02135",4,5400,10.0 km,4.0 km,10.1 km,3.8 km
"23 Chiswick Rd #4, Brighton, MA 02135",3,3400,5.5 km,4.5 km,7.0 km,3.7 km
"60 Bennett St #2, Brighton, MA 02135",3,3300,9.9 km,4.0 km,10.0 km,3.4 km
"1665 Commonwealth Ave APT 2, Brighton, MA 02135",4,3750,5.5 km,4.2 km,7.1 km,3.8 km
"176 N Beacon St, Boston, MA",1,2400,8.6 km,2.5 km,5.7 km,2.4 km
"176 N Beacon St, Boston, MA",2,2700,8.6 km,2.5 km,5.7 km,2.4 km
"164 Endicott St, Boston, MA",2,3200,6.4 km,10.6 km,4.7 km,4.9 km
"76 Hano St, Allston, MA 02134",4,3550,5.7 km,2.0 km,5.0 km,2.0 km
"14 Leicester St #3, Brighton, MA 02135",3,3400,10.2 km,4.3 km,6.5 km,3.3 km
"38 Perthshire Rd #2, Brighton, MA 02135",4,4700,10.3 km,4.3 km,10.1 km,4.4 km
"41 Matchett St #1, Brighton, MA 02135",3,3600,12.1 km,4.5 km,9.8 km,8.5 km
"45 Matchett St #1, Brighton, MA 02135",3,3600,12.1 km,4.5 km,9.8 km,8.5 km
"16 Hopedale St #1, Allston, MA 02134",5,5900,4.8 km,1.2 km,4.0 km,2.7 km
"20 Coolidge Rd #1, Allston, MA 02134",3,3400,5.5 km,1.2 km,4.8 km,3.5 km
"8 Crowell St APT 1, Dorchester Center, MA 02124",3,3800,7.9 km,19.7 km,17.6 km,10.6 km
"6 Sparhawk St #1, Brighton, MA 02135",3,3850,6.7 km,2.9 km,5.9 km,2.7 km
"80 Etna St #2, Brighton, MA 02135",4,3800,9.0 km,2.7 km,6.0 km,3.0 km
"48 Adamson St #46, Allston, MA 02134",3,3500,5.5 km,1.1 km,4.7 km,3.5 km
"164 Kelton St #3, Boston, MA 02134",3,3600,4.5 km,2.8 km,5.2 km,1.9 km
"15 Bothwell Rd FLOOR 2, Brighton, MA 02135",5,6000,9.8 km,3.8 km,9.9 km,3.8 km
"40 Donnybrook Rd, Brighton, MA",4,3800,9.7 km,3.8 km,9.9 km,3.9 km
"(undisclosed Address), Boston, MA 02135",3,4000,10.6 km,4.6 km,10.9 km,4.1 km
"18 Sutherland Rd #21, Brighton, MA 02135",3,3325,5.4 km,4.3 km,6.9 km,3.6 km
"(undisclosed Address), Boston, MA 02115",4,5600,0.7 km,6.5 km,3.1 km,2.1 km
"(undisclosed Address), Brighton, MA 02135",2,2900,10.6 km,4.6 km,10.9 km,4.1 km
"(undisclosed Address), Jamaica Plain, MA 02130",2,3695,4.3 km,7.5 km,7.9 km,5.4 km
"36-40 Hemenway St, Boston, MA",Studio,2300,1.2 km,5.8 km,2.6 km,1.1 km
"36-40 Hemenway St, Boston, MA",1,3000,1.2 km,5.8 km,2.6 km,1.1 km
"36-40 Hemenway St, Boston, MA",2,3600,1.2 km,5.8 km,2.6 km,1.1 km
"36-40 Hemenway St, Boston, MA",3,4950,1.2 km,5.8 km,2.6 km,1.1 km
"249 Chestnut Hill Ave, Brighton, MA",Studio,1900,6.2 km,4.2 km,7.3 km,3.9 km
"249 Chestnut Hill Ave, Brighton, MA",2,2500,6.2 km,4.2 km,7.3 km,3.9 km
"314 Faneuil St #3, Brighton, MA 02135",4,4000,9.8 km,3.9 km,10.0 km,4.0 km
"14 Glenmont Rd FLOOR 2, Brighton, MA 02135",3,3500,10.8 km,4.9 km,11.2 km,4.3 km
"150 Englewood Ave #21, Brighton, MA 02135",3,3325,5.6 km,4.6 km,7.2 km,3.9 km
"10-20 Elko St, Brighton, MA",1,2850,6.8 km,3.0 km,6.1 km,2.9 km
"10-20 Elko St, Brighton, MA",2,3150,6.8 km,3.0 km,6.1 km,2.9 km
"41 Bennett St #2, Brighton, MA 02135",4,4400,9.8 km,3.9 km,9.9 km,3.3 km
"20 Cufflin St #2, Brighton, MA 02135",4,5800,12.5 km,5.1 km,10.1 km,5.1 km
"42-46 Brackett St #2, Brighton, MA 02135",3,3500,12.6 km,4.7 km,10.3 km,4.7 km
"37 Faneuil St #2, Brighton, MA 02135",6,5995,9.7 km,3.8 km,6.8 km,2.9 km
"38 Queensberry St #12, Boston, MA 02215",Studio,2450,0.8 km,6.4 km,3.2 km,2.1 km
"8 Bellvista Rd #6, Brighton, MA 02135",2,3000,4.6 km,3.1 km,5.3 km,2.0 km
"14 Brooks St #3, Brighton, MA 02135",3,3300,9.4 km,3.5 km,9.6 km,8.0 km
"46 Cummings Rd #1, Brighton, MA 02135",3,3800,5.2 km,3.7 km,6.2 km,2.9 km
"877-881 Beacon St, Boston, MA",Studio,2800,1.8 km,2.9 km,3.2 km,0.7 km
"877-881 Beacon St, Boston, MA",1,3000,1.8 km,2.9 km,3.2 km,0.7 km
"877-881 Beacon St, Boston, MA",2,3400,1.8 km,2.9 km,3.2 km,0.7 km
"877-881 Beacon St, Boston, MA",3,8000,1.8 km,2.9 km,3.2 km,0.7 km
"10 Donald Rd UNIT 3, Dorchester Center, MA 02124",4,3500,6.0 km,11.7 km,12.0 km,9.6 km
"42 Saxton St, Dorchester, MA",1,2650,4.4 km,13.4 km,11.4 km,12.2 km
"42 Saxton St, Dorchester, MA",2,2650,4.4 km,13.4 km,11.4 km,12.2 km
"42 Saxton St, Dorchester, MA",3,2800,4.4 km,13.4 km,11.4 km,12.2 km
"58 Atkins St #1, Brighton, MA 02135",3,3500,12.2 km,4.5 km,9.8 km,8.6 km
"14 Woodmont St #1, Brighton, MA 02135",4,3700,9.4 km,3.5 km,9.5 km,7.9 km
"37 Atkins St #2, Brighton, MA 02135",4,4400,12.1 km,4.8 km,9.8 km,8.5 km
"56 Charlesgate E, Boston, MA",1,2945,1.4 km,5.9 km,2.8 km,1.3 km
"56 Charlesgate E, Boston, MA",2,3800,1.4 km,5.9 km,2.8 km,1.3 km
"25 Bostonia Ave #1, Brighton, MA 02135",4,3600,12.6 km,4.7 km,10.3 km,4.8 km
"984 Washington St, Dorchester Center, MA",2,3400,10.7 km,18.2 km,16.1 km,16.9 km
"984 Washington St, Dorchester Center, MA",3,3600,10.7 km,18.2 km,16.1 km,16.9 km
"24 Murdock St APT 5, Boston, MA 02135",3,3100,6.7 km,2.9 km,5.9 km,2.7 km
"12 Oakland St #1, Brighton, MA 02135",4,5600,10.0 km,4.1 km,10.1 km,3.9 km
"14 Bothwell Rd #1, Brighton, MA 02135",3,3900,9.8 km,3.8 km,9.9 km,3.8 km
"47-49 Orkney Rd UNIT 2C, Brighton, MA 02135",4,4800,5.4 km,5.1 km,6.8 km,4.4 km
"20-22 Surrey St #2, Brighton, MA 02135",3,3150,10.0 km,4.1 km,10.1 km,3.6 km
"16 Cufflin St #2, Brighton, MA 02135",4,5800,12.0 km,5.1 km,9.7 km,5.1 km
"1554 Commonwealth Ave #7, Brighton, MA 02135",2,2800,5.1 km,3.2 km,5.8 km,2.5 km
"14 Highgate St #303, Allston, MA 02134",2,3900,5.5 km,1.8 km,4.7 km,1.4 km
"52 Adamson St #2, Allston, MA 02134",3,3500,5.5 km,1.1 km,4.7 km,3.5 km
"62 Langley Rd #2, Brighton, MA 02135",4,5700,12.6 km,4.6 km,10.2 km,4.7 km
"68 Brooks St, Boston, MA",3,3200,9.5 km,3.6 km,9.6 km,8.0 km
"245 Chestnut Hill Ave #2, Brighton, MA 02135",2,2850,6.2 km,4.2 km,7.2 km,3.9 km
"506 E Broadway, Boston, MA",1,2400,4.4 km,10.7 km,8.6 km,9.4 km
"506 E Broadway, Boston, MA",2,2600,4.4 km,10.7 km,8.6 km,9.4 km
"42 Vineland St #2, Boston, MA 02135",3,3500,8.6 km,2.4 km,8.7 km,3.0 km
"78 Glenville Ave, Allston, MA 02134",2,3200,6.5 km,2.9 km,5.8 km,2.0 km
"86 Brooks St UNIT 1, Brighton, MA 02135",5,5500,9.6 km,3.6 km,9.7 km,8.1 km
"40 Atkins St #1, Brighton, MA 02135",4,4000,12.1 km,4.8 km,9.8 km,8.5 km
"228 Kelton St, Allston, MA",1,2125,4.3 km,3.1 km,5.1 km,1.8 km
"52 Cummings Rd APT 1, Brighton, MA 02135",5,5000,5.2 km,3.7 km,6.2 km,2.9 km
"1666 Commonwealth Ave, Brighton, MA",1,3100,5.1 km,3.6 km,6.1 km,2.8 km
"1666 Commonwealth Ave, Brighton, MA",2,2800,5.1 km,3.6 km,6.1 km,2.8 km
