address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"The Eddy | 10 New St, Boston, MA",1,3058,8.2 km,11.9 km,6.8 km,7.7 km
"The Eddy | 10 New St, Boston, MA",2,3997,8.2 km,11.9 km,6.8 km,7.7 km
"Park Lane Seaport | 1 Park Ln, Boston, MA",Studio,3239,5.7 km,10.1 km,7.8 km,8.7 km
"Park Lane Seaport | 1 Park Ln, Boston, MA",1,3515,5.7 km,10.1 km,7.8 km,8.7 km
"Park Lane Seaport | 1 Park Ln, Boston, MA",2,4079,5.7 km,10.1 km,7.8 km,8.7 km
"The Colonnade Residences | 118 Huntington Ave, Boston, MA",2,7200,1.7 km,6.8 km,3.0 km,2.5 km
"Alcott | 35 Lomasney Way, Boston, MA",1,3685,4.7 km,8.4 km,3.3 km,4.2 km
"Alcott | 35 Lomasney Way, Boston, MA",2,5230,4.7 km,8.4 km,3.3 km,4.2 km
"David at 775, 775 Morton St, Mattapan, MA 02126",2,2950,6.9 km,19.9 km,12.1 km,9.6 km
"3-15 Carol Avenue, 3 Carol Ave #15-10, Brighton, MA 02135",2,3095,5.0 km,3.4 km,5.6 km,2.3 km
"The Smith | 89 E Dedham St, Boston, MA",Studio,3279,2.2 km,9.7 km,7.6 km,8.5 km
"The Smith | 89 E Dedham St, Boston, MA",1,3480,2.2 km,9.7 km,7.6 km,8.5 km
"The Smith | 89 E Dedham St, Boston, MA",2,5015,2.2 km,9.7 km,7.6 km,8.5 km
"The Smith | 89 E Dedham St, Boston, MA",3,7868,2.2 km,9.7 km,7.6 km,8.5 km
"30 Dalton | 30 Dalton St, Boston, MA",1,4236,1.0 km,5.9 km,2.4 km,1.4 km
"30 Dalton | 30 Dalton St, Boston, MA",2,7095,1.0 km,5.9 km,2.4 km,1.4 km
"30 Dalton | 30 Dalton St, Boston, MA",3,27208,1.0 km,5.9 km,2.4 km,1.4 km
"Zero Athens | 35 W 2nd St, Boston, MA",Studio,2650,3.7 km,9.1 km,7.0 km,7.8 km
"Zero Athens | 35 W 2nd St, Boston, MA",1,2850,3.7 km,9.1 km,7.0 km,7.8 km
"The Indie | 35-43 Braintree St, Allston, MA",Studio,2583,5.4 km,1.8 km,4.6 km,1.6 km
"The Indie | 35-43 Braintree St, Allston, MA",1,3388,5.4 km,1.8 km,4.6 km,1.6 km
"The Indie | 35-43 Braintree St, Allston, MA",2,4551,5.4 km,1.8 km,4.6 km,1.6 km
"The Indie | 35-43 Braintree St, Allston, MA",3,5300,5.4 km,1.8 km,4.6 km,1.6 km
"286 & 288 Chestnut Hill Avenue | 286 Chestnut Hill Ave, Brighton, MA",Studio,2250,5.9 km,4.4 km,6.9 km,3.7 km
"286 & 288 Chestnut Hill Avenue | 286 Chestnut Hill Ave, Brighton, MA",1,2450,5.9 km,4.4 km,6.9 km,3.7 km
"Albany Street Apartments | 601 Albany St, Boston, MA",Studio,2500,2.9 km,1.9 km,0.8 km,1.9 km
"Albany Street Apartments | 601 Albany St, Boston, MA",1,3000,2.9 km,1.9 km,0.8 km,1.9 km
"Albany Street Apartments | 601 Albany St, Boston, MA",2,3450,2.9 km,1.9 km,0.8 km,1.9 km
"Gables Seaport | 501 Congress St, Boston, MA",Studio,2875,5.3 km,9.6 km,7.8 km,8.6 km
"Gables Seaport | 501 Congress St, Boston, MA",1,3695,5.3 km,9.6 km,7.8 km,8.6 km
"Gables Seaport | 501 Congress St, Boston, MA",2,5255,5.3 km,9.6 km,7.8 km,8.6 km
"65 Chiswick Rd | 65 Chiswick Rd, Brighton, MA",1,2400,5.8 km,4.3 km,6.8 km,3.5 km
