address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"30 Dalton | 30 Dalton St, Boston, MA",2,7095,1.0 km,5.9 km,2.4 km,1.4 km,42.3459101,-71.0844803
"30 Dalton | 30 Dalton St, Boston, MA",3,27208,1.0 km,5.9 km,2.4 km,1.4 km,42.3459101,-71.0844803
"Zero Athens | 35 W 2nd St, Boston, MA",Studio,2650,3.7 km,9.1 km,7.0 km,7.8 km,42.3432057,-71.0562425
"Zero Athens | 35 W 2nd St, Boston, MA",1,2850,3.7 km,9.1 km,7.0 km,7.8 km,42.3432057,-71.0562425
"The Indie | 35-43 Braintree St, Allston, MA",Studio,2583,5.4 km,1.8 km,4.6 km,1.6 km,42.3563408,-71.1344664
"The Indie | 35-43 Braintree St, Allston, MA",1,3388,5.4 km,1.8 km,4.6 km,1.6 km,42.3563408,-71.1344664
"The Indie | 35-43 Braintree St, Allston, MA",2,4551,5.4 km,1.8 km,4.6 km,1.6 km,42.3563408,-71.1344664
"The Indie | 35-43 Braintree St, Allston, MA",3,5300,5.4 km,1.8 km,4.6 km,1.6 km,42.3563408,-71.1344664
"286 & 288 Chestnut Hill Avenue | 286 Chestnut Hill Ave, Brighton, MA",Studio,2250,5.9 km,4.4 km,6.9 km,3.7 km,42.338169,-71.15316
"286 & 288 Chestnut Hill Avenue | 286 Chestnut Hill Ave, Brighton, MA",1,2450,5.9 km,4.4 km,6.9 km,3.7 km,42.338169,-71.15316
"Albany Street Apartments | 601 Albany St, Boston, MA",Studio,2500,2.9 km,1.9 km,0.8 km,1.9 km,42.3585955,-71.1004945
"Albany Street Apartments | 601 Albany St, Boston, MA",1,3000,2.9 km,1.9 km,0.8 km,1.9 km,42.3585955,-71.1004945
"Albany Street Apartments | 601 Albany St, Boston, MA",2,3450,2.9 km,1.9 km,0.8 km,1.9 km,42.3585955,-71.1004945
"Gables Seaport | 501 Congress St, Boston, MA",Studio,2875,5.3 km,9.6 km,7.8 km,8.6 km,42.3486455,-71.0421303
"Gables Seaport | 501 Congress St, Boston, MA",1,3695,5.3 km,9.6 km,7.8 km,8.6 km,42.3486455,-71.0421303
